Vendor;Rat;Region;Province;tipo;BSC Name;BSC ID*;Cell Name;Cell ID*
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0198E2;3550
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0198E3;3551
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0199E1;3399
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0199E2;3400
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0199E3;3401
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0202E1;3424
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0202E2;3425
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0202E3;3426
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0318E1;3311
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0318E2;3312
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0318E3;3313
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0359E1;3314
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0359E2;3315
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0359E3;3316
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0363E1;3250
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0363E2;3251
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0395E1_NOT_ON_AIR;13021
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0720E1;3429
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0720E2;3430
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0720E3;13043
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0724E1;3252
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0724E2;3253
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0724E3;3254
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0724R1;8683
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0724R2;8684
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B0724R3;8685
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B1005E1;13044
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B1005E2;13045
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B1024E1;13046
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B1024E2;13047
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B1024E3;4573
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B1207E1;4605
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B1207E2;4606
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B1207E3;4607
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B1358E1;4586
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B1358E2;4587
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B1358E3;4588
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B9001E1;3362
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B9001E3;3363
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B9025E1;3255
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B9143E1;3405
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B9150E1;3406
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B9150E2;3407
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B9189E1;5701
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B9189E2;13059
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B9196E1;3408
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B9196E2;3409
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;B9196E3;3410
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;PM13JG1;61943
