TKeys
node
node_category
cellnamex
cellname_sin_X
cellname
clusters
PROVINCIA
ZONA
TECH
num_problems_Audits
num_audits
GISKO
BMlist
Skadi_gis_issue_UMTS
Skadi_gis_issue_LTE
RanMo_num
RanMo_score
ExternalInconsistencies_num
ExternalInconsistencies_score
PCE_num
PCE_score
PARAMETRIZACIÓN_num
PARAMETRIZACIÓN_score
Core_Inner_num
Core_Inner_score
Core_Outer_num
Core_Outer_score
Core_Areas_num
Core_Areas_score
Core_Locno_num
Core_Locno_score
CORE_num
CORE_score
Skadi_unbalanced_CROSS_TECH_num
Skadi_unbalanced_CROSS_TECH_score
Skadi_unbalanced_4G_num
Skadi_unbalanced_4G_score
Skadi_xfeeder_UMTS_num
Skadi_xfeeder_UMTS_score
Skadi_xfeeder_LTE_num
Skadi_xfeeder_LTE_score
Skadi_undershoot_UMTS_num
Skadi_undershoot_UMTS_score
Skadi_overshoot_UMTS_num
Skadi_overshoot_UMTS_score
Skadi_polluters_LTE_num
Skadi_polluters_LTE_score
Skadi_undershoot_LTE_num
Skadi_undershoot_LTE_score
Skadi_overshoot_LTE_num
Skadi_overshoot_LTE_score
HUELLA_num
HUELLA_score
Mercator_conflicts_pci_mod3_num
Mercator_conflicts_pci_mod3_score
Mercator_conflicts_hop_bcch_num
Mercator_conflicts_hop_bcch_score
Mercator_conflicts_bcch_num
Mercator_conflicts_bcch_score
Mercator_conflicts_adj_bcch_num
Mercator_conflicts_adj_bcch_score
Mercator_conflicts_bcch_bsic_num
Mercator_conflicts_bcch_bsic_score
Mercator_conflicts_uarfcndl_psc_num
Mercator_conflicts_uarfcndl_psc_score
Mercator_conflicts_earfcndl_pci_num
Mercator_conflicts_earfcndl_pci_score
Mercator_conflicts_nrarfcndl_pci_num
Mercator_conflicts_nrarfcndl_pci_score
PLANIF_num
PLANIF_score
Mercator_isolated_2Gbsc_num
Mercator_isolated_2Gbsc_score
Mercator_isolated_2Glrac_num
Mercator_isolated_2Glrac_score
Mercator_isolated_3Grnc_num
Mercator_isolated_3Grnc_score
Mercator_isolated_3Glrac_num
Mercator_isolated_3Glrac_score
Mercator_isolated_4Gtac_num
Mercator_isolated_4Gtac_score
TOPOLOGÍA_num
TOPOLOGÍA_score
COBERTURA_OPTIMIZABLE_num
COBERTURA_OPTIMIZABLE_score
COBERTURA_ESTRUCTURAL_num
COBERTURA_ESTRUCTURAL_score
MALA_COBERTURA_num
MALA_COBERTURA_score
CLIENTE_num
CLIENTE_score
total_score_audits
num_problems_KPIs
TTI2MS_3G_num
TTI2MS_3G_score
CQI_1_6_4G_num
CQI_1_6_4G_score
PDCCH_AGG_LEVEL_8_4G_num
PDCCH_AGG_LEVEL_8_4G_score
MIMO_4G_num
MIMO_4G_score
CONDICIONES_RF_num
CONDICIONES_RF_score
DCR_2G_num
DCR_2G_score
BCR_2G_num
BCR_2G_score
CSSR_2G_num
CSSR_2G_score
GPRS_CSSR_2G_num
GPRS_CSSR_2G_score
GPRS_BLOCK_2G_num
GPRS_BLOCK_2G_score
HO_SUCC_2G_num
HO_SUCC_2G_score
HO_IRAT2G3G_2G_num
HO_IRAT2G3G_2G_score
VOICE_DCR_3G_num
VOICE_DCR_3G_score
VOICE_CSSR_3G_num
VOICE_CSSR_3G_score
PS_DCR_3G_num
PS_DCR_3G_score
PS_CSSR_3G_num
PS_CSSR_3G_score
VOICE_SHO_3G_num
VOICE_SHO_3G_score
PS_SHO_3G_num
PS_SHO_3G_score
VOICE_INTERFREQHO_3G_num
VOICE_INTERFREQHO_3G_score
PS_INTERFREQHO_3G_num
PS_INTERFREQHO_3G_score
VOICE_3GEND2G_num
VOICE_3GEND2G_score
VOICE_IRATHO_3G_num
VOICE_IRATHO_3G_score
UE_DL_THPUT_4G_num
UE_DL_THPUT_4G_score
ERAB_DCR_4G_num
ERAB_DCR_4G_score
CSSR_4G_num
CSSR_4G_score
LTE_HO_4G_num
LTE_HO_4G_score
IRAT_HO_4G_num
IRAT_HO_4G_score
RACH_4G_num
RACH_4G_score
SETUP_SUCCESS_RATE_5G_num
SETUP_SUCCESS_RATE_5G_score
DROP_CALL_RATE_5G_num
DROP_CALL_RATE_5G_score
