PARTNER;LOTE;ID SOLPRO;CLUSTER NAME;SITES SEMILLA;SITES CORONA;Nº SITES (SEMILLA+CORONA);PROVINCE;Project Solpro;Type Solpro;OPTIMIZATION Scenario;TIPO QBOOST;COMENTARIOS;Fecha Planificada DT-Pre;Fecha Entrega DT-Pre;FECHA ENTRADA QBOOST;Fecha Planificada DT-Post;Fecha Entrega DT-Post;DT;FORECAST REPORT DELIVERY;FECHA CIERRE QBOOST;Tiempo DT;Tiempo Tipología QF;Días Fuera SLA;OPTIMIZATION STATUS;ACCEPTANCE OSP DATE;% KPI TEORICO; KPI ACEPTADO;Date  Stopped;Root Cause;Owner;Topology Root Cause;Blocking Points;"Date 
Resolved";Date  Rejected;JOB QF Asociados;CHECK DUPLICADOS;CHECK DUPLICADOS.1;FORECAST REPORT DELIVERY WEEK;FECHA CIERRE QBOOST WEEK;Nodos a Apagar;Check Apagados
;E2;282652;VX_752;VAL1833;VAL1835,VAL1839,VAL1841,VAL1843,VAL1850,VAL1851;7;VALENCIA;Plan 3_5 Sharing;ZR Ampliaciones;ZR;Ampliación;;;N/A;16/04/2025;N/A;PENDING;Arca-Post;14/05/2025;N/A;;28;;ONGOING;N/A;;;;;;;;;;;OK;OK;;;;
;E2;282652;cluster_fer;CAN5890,VAL1885,CAN0215,AND0281,AND0378,AND2591,VAL1888,VAL1889,VAL1886;-;7;VALENCIA;Plan 3_5 Sharing;ZR Ampliaciones;ZR;Ampliación;;;N/A;16/04/2025;N/A;PENDING;Arca-Post;14/05/2025;N/A;;28;;ONGOING;N/A;;;;;;;;;;;OK;OK;;;;
